Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Spaced_Repetition,Active_Recall,Interleaving,Elaborative_Int,Feynman,Mind_Mapping
0.82,0.91,0.45,0.67,0.32,1,1,1,1,0,0
0.34,0.88,0.22,0.55,0.41,1,1,1,0,0,0
0.95,0.32,0.78,0.45,0.21,0,1,0,1,1,1
0.12,0.45,0.91,0.72,0.34,0,1,0,0,1,0
0.77,0.55,0.45,0.88,0.61,0,0,0,1,1,1
0.21,0.95,0.12,0.34,0.78,1,0,1,1,0,0
0.88,0.21,0.82,0.45,0.12,0,1,0,1,1,1
0.45,0.77,0.34,0.67,0.55,1,1,0,0,0,0
0.61,0.41,0.55,0.91,0.45,0,0,1,1,0,1
0.91,0.82,0.21,0.55,0.21,1,1,1,1,1,0
0.25,0.85,0.40,0.60,0.30,1,1,1,0,0,0
0.80,0.30,0.70,0.50,0.20,0,1,0,1,1,1
0.15,0.40,0.85,0.75,0.40,0,1,0,0,1,0
0.70,0.60,0.50,0.80,0.50,0,0,1,1,1,1
0.30,0.90,0.20,0.40,0.60,1,1,1,1,0,0
0.90,0.25,0.75,0.55,0.35,0,1,0,1,1,1
0.50,0.70,0.40,0.65,0.45,1,1,0,0,0,0
0.65,0.45,0.60,0.85,0.35,0,0,1,1,0,1
0.85,0.80,0.30,0.50,0.25,1,1,1,1,1,0
0.20,0.88,0.35,0.55,0.45,1,1,1,0,0,0
0.92,0.28,0.80,0.48,0.18,0,1,0,1,1,1
0.10,0.42,0.88,0.78,0.38,0,1,0,0,1,0
0.75,0.58,0.48,0.82,0.58,0,0,0,1,1,1
0.28,0.92,0.18,0.38,0.72,1,0,1,1,0,0
0.85,0.18,0.85,0.42,0.15,0,1,0,1,1,1
0.42,0.75,0.38,0.62,0.52,1,1,0,0,0,0
0.58,0.38,0.52,0.88,0.42,0,0,1,1,0,1
0.88,0.85,0.28,0.52,0.28,1,1,1,1,1,0
0.35,0.72,0.45,0.65,0.35,1,0,1,1,0,0
0.78,0.35,0.65,0.55,0.25,0,1,0,1,1,1
0.25,0.48,0.82,0.72,0.45,0,1,0,0,1,0
0.68,0.62,0.55,0.78,0.52,0,0,1,1,1,1
0.40,0.85,0.25,0.45,0.58,1,1,1,1,0,0
0.82,0.32,0.72,0.52,0.32,0,1,0,1,1,1
0.48,0.72,0.42,0.68,0.48,1,1,0,0,0,0
0.62,0.48,0.58,0.82,0.38,0,0,1,1,0,1
0.80,0.78,0.32,0.58,0.28,1,1,1,1,1,0
0.18,0.90,0.32,0.52,0.48,1,1,1,0,0,0
0.95,0.25,0.82,0.45,0.15,0,1,0,1,1,1
0.15,0.45,0.90,0.75,0.35,0,1,0,0,1,0
0.72,0.55,0.45,0.85,0.55,0,0,1,1,1,1
0.25,0.95,0.15,0.35,0.75,1,0,1,1,0,0
0.88,0.22,0.88,0.48,0.12,0,1,0,1,1,1
0.45,0.78,0.35,0.65,0.55,1,1,0,0,0,0
0.55,0.35,0.55,0.95,0.45,0,0,1,1,0,1
